Metadata_Plate,Metadata_Well,Metadata_Channel,filename,URL
cmqtlpl1.5-31-2019-mt,B03,URL_OrigDNA,r02c03f05p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c03f05p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B03,URL_OrigDNA,r02c03f06p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c03f06p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B03,URL_OrigDNA,r02c03f07p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c03f07p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B03,URL_OrigDNA,r02c03f08p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c03f08p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B03,URL_OrigDNA,r02c03f09p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c03f09p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B04,URL_OrigDNA,r02c04f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c04f01p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B04,URL_OrigDNA,r02c04f02p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c04f02p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B04,URL_OrigDNA,r02c04f03p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c04f03p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B04,URL_OrigDNA,r02c04f04p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c04f04p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B04,URL_OrigDNA,r02c04f05p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c04f05p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B04,URL_OrigDNA,r02c04f06p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c04f06p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B04,URL_OrigDNA,r02c04f07p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c04f07p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B04,URL_OrigDNA,r02c04f08p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c04f08p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B04,URL_OrigDNA,r02c04f09p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c04f09p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B23,URL_OrigDNA,r02c23f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c23f01p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B23,URL_OrigDNA,r02c23f02p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c23f02p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B23,URL_OrigDNA,r02c23f03p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c23f03p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B23,URL_OrigDNA,r02c23f04p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c23f04p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B23,URL_OrigDNA,r02c23f05p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c23f05p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B23,URL_OrigDNA,r02c23f06p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c23f06p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B23,URL_OrigDNA,r02c23f07p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c23f07p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B23,URL_OrigDNA,r02c23f08p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c23f08p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B23,URL_OrigDNA,r02c23f09p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c23f09p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B24,URL_OrigDNA,r02c24f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c24f01p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B24,URL_OrigDNA,r02c24f02p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c24f02p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B24,URL_OrigDNA,r02c24f03p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c24f03p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B24,URL_OrigDNA,r02c24f04p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c24f04p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B24,URL_OrigDNA,r02c24f05p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c24f05p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B24,URL_OrigDNA,r02c24f06p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c24f06p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B24,URL_OrigDNA,r02c24f07p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c24f07p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B24,URL_OrigDNA,r02c24f08p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c24f08p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B24,URL_OrigDNA,r02c24f09p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c24f09p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,C11,URL_OrigDNA,r03c11f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r03c11f01p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,C11,URL_OrigDNA,r03c11f02p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r03c11f02p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,C11,URL_OrigDNA,r03c11f03p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r03c11f03p01-ch5sk1fk1fl1.tiff
