plate_map_name	well_position	plating_density	line_ID
cmQTL_plate6_8.27.2019	H13	10000	253
cmQTL_plate6_8.27.2019	H14	10000	253
cmQTL_plate6_8.27.2019	H15	10000	260
cmQTL_plate6_8.27.2019	H16	10000	260
cmQTL_plate6_8.27.2019	H17	10000	263
cmQTL_plate6_8.27.2019	H18	10000	263
cmQTL_plate6_8.27.2019	H19	10000	242
cmQTL_plate6_8.27.2019	H20	10000	242
cmQTL_plate6_8.27.2019	H21	10000	0
cmQTL_plate6_8.27.2019	H22	10000	0
cmQTL_plate6_8.27.2019	H23	10000	243
cmQTL_plate6_8.27.2019	H24	10000	243
cmQTL_plate6_8.27.2019	I01	10000	256
cmQTL_plate6_8.27.2019	I02	10000	256
cmQTL_plate6_8.27.2019	I03	10000	112
cmQTL_plate6_8.27.2019	I04	10000	112
cmQTL_plate6_8.27.2019	I05	10000	0
cmQTL_plate6_8.27.2019	I06	10000	0
cmQTL_plate6_8.27.2019	I07	10000	187
cmQTL_plate6_8.27.2019	I08	10000	187
cmQTL_plate6_8.27.2019	I09	10000	252
cmQTL_plate6_8.27.2019	I10	10000	252
cmQTL_plate6_8.27.2019	I11	10000	244
cmQTL_plate6_8.27.2019	I12	10000	244
cmQTL_plate6_8.27.2019	I13	10000	187
cmQTL_plate6_8.27.2019	I14	10000	187
cmQTL_plate6_8.27.2019	I15	10000	237
cmQTL_plate6_8.27.2019	I16	10000	237
cmQTL_plate6_8.27.2019	I17	10000	0
cmQTL_plate6_8.27.2019	I18	10000	0
cmQTL_plate6_8.27.2019	I19	10000	259
cmQTL_plate6_8.27.2019	I20	10000	259
cmQTL_plate6_8.27.2019	I21	10000	0
cmQTL_plate6_8.27.2019	I22	10000	0
cmQTL_plate6_8.27.2019	I23	10000	251
cmQTL_plate6_8.27.2019	I24	10000	251
cmQTL_plate6_8.27.2019	J01	10000	256
cmQTL_plate6_8.27.2019	J02	10000	256
cmQTL_plate6_8.27.2019	J03	10000	112
cmQTL_plate6_8.27.2019	J04	10000	112
cmQTL_plate6_8.27.2019	J05	10000	0
cmQTL_plate6_8.27.2019	J06	10000	0
cmQTL_plate6_8.27.2019	J07	10000	187
cmQTL_plate6_8.27.2019	J08	10000	187
cmQTL_plate6_8.27.2019	J09	10000	252
cmQTL_plate6_8.27.2019	J10	10000	252
cmQTL_plate6_8.27.2019	J11	10000	244
cmQTL_plate6_8.27.2019	J12	10000	244
cmQTL_plate6_8.27.2019	J13	10000	187
cmQTL_plate6_8.27.2019	J14	10000	187
cmQTL_plate6_8.27.2019	J15	10000	237
cmQTL_plate6_8.27.2019	J16	10000	237
cmQTL_plate6_8.27.2019	J17	10000	0
cmQTL_plate6_8.27.2019	J18	10000	0
cmQTL_plate6_8.27.2019	J19	10000	259
cmQTL_plate6_8.27.2019	J20	10000	259
cmQTL_plate6_8.27.2019	J21	10000	0
cmQTL_plate6_8.27.2019	J22	10000	0
cmQTL_plate6_8.27.2019	J23	10000	251
cmQTL_plate6_8.27.2019	J24	10000	251
cmQTL_plate6_8.27.2019	K01	10000	238
cmQTL_plate6_8.27.2019	K02	10000	238
cmQTL_plate6_8.27.2019	K03	10000	0
cmQTL_plate6_8.27.2019	K04	10000	0
cmQTL_plate6_8.27.2019	K05	10000	0
cmQTL_plate6_8.27.2019	K06	10000	0
cmQTL_plate6_8.27.2019	K07	10000	234
cmQTL_plate6_8.27.2019	K08	10000	234
cmQTL_plate6_8.27.2019	K09	10000	258
cmQTL_plate6_8.27.2019	K10	10000	258
cmQTL_plate6_8.27.2019	K11	10000	188
cmQTL_plate6_8.27.2019	K12	10000	188
cmQTL_plate6_8.27.2019	K13	10000	0
cmQTL_plate6_8.27.2019	K14	10000	0
cmQTL_plate6_8.27.2019	K15	10000	188
cmQTL_plate6_8.27.2019	K16	10000	188
cmQTL_plate6_8.27.2019	K17	10000	262
cmQTL_plate6_8.27.2019	K18	10000	262
cmQTL_plate6_8.27.2019	K19	10000	240
cmQTL_plate6_8.27.2019	K20	10000	240
cmQTL_plate6_8.27.2019	K21	10000	0
cmQTL_plate6_8.27.2019	K22	10000	0
cmQTL_plate6_8.27.2019	K23	10000	264
cmQTL_plate6_8.27.2019	K24	10000	264
cmQTL_plate6_8.27.2019	L01	10000	238
cmQTL_plate6_8.27.2019	L02	10000	238
cmQTL_plate6_8.27.2019	L03	10000	0
cmQTL_plate6_8.27.2019	L04	10000	0
cmQTL_plate6_8.27.2019	L05	10000	0
cmQTL_plate6_8.27.2019	L06	10000	0
cmQTL_plate6_8.27.2019	L07	10000	234
cmQTL_plate6_8.27.2019	L08	10000	234
cmQTL_plate6_8.27.2019	L09	10000	258
cmQTL_plate6_8.27.2019	L10	10000	258
cmQTL_plate6_8.27.2019	L11	10000	188
cmQTL_plate6_8.27.2019	L12	10000	188
cmQTL_plate6_8.27.2019	L13	10000	0
cmQTL_plate6_8.27.2019	L14	10000	0
cmQTL_plate6_8.27.2019	L15	10000	188
cmQTL_plate6_8.27.2019	L16	10000	188
cmQTL_plate6_8.27.2019	L17	10000	262
cmQTL_plate6_8.27.2019	L18	10000	262
cmQTL_plate6_8.27.2019	L19	10000	240
cmQTL_plate6_8.27.2019	L20	10000	240
cmQTL_plate6_8.27.2019	L21	10000	0
cmQTL_plate6_8.27.2019	L22	10000	0
cmQTL_plate6_8.27.2019	L23	10000	264
cmQTL_plate6_8.27.2019	L24	10000	264
cmQTL_plate6_8.27.2019	M01	10000	246
cmQTL_plate6_8.27.2019	M02	10000	246
cmQTL_plate6_8.27.2019	M03	10000	110
cmQTL_plate6_8.27.2019	M04	10000	110
cmQTL_plate6_8.27.2019	M05	10000	0
cmQTL_plate6_8.27.2019	M06	10000	0
cmQTL_plate6_8.27.2019	M07	10000	248
cmQTL_plate6_8.27.2019	M08	10000	248
cmQTL_plate6_8.27.2019	M09	10000	0
cmQTL_plate6_8.27.2019	M10	10000	0
cmQTL_plate6_8.27.2019	M11	10000	236
cmQTL_plate6_8.27.2019	M12	10000	236
cmQTL_plate6_8.27.2019	M13	10000	257
cmQTL_plate6_8.27.2019	M14	10000	257
cmQTL_plate6_8.27.2019	M15	10000	266
cmQTL_plate6_8.27.2019	M16	10000	266
cmQTL_plate6_8.27.2019	M17	10000	0
cmQTL_plate6_8.27.2019	M18	10000	0
cmQTL_plate6_8.27.2019	M19	10000	247
cmQTL_plate6_8.27.2019	M20	10000	247
cmQTL_plate6_8.27.2019	M21	10000	105
cmQTL_plate6_8.27.2019	M22	10000	105
cmQTL_plate6_8.27.2019	M23	10000	239
cmQTL_plate6_8.27.2019	M24	10000	239
cmQTL_plate6_8.27.2019	N01	10000	246
cmQTL_plate6_8.27.2019	N02	10000	246
